stateabb,year,gcs_mn_all,gcs_mn_ecd,gcs_mn_blk,gcs_mn_wht,gcs_mn_fem,gcs_mn_mal,gap_ecd,gap_black_white,gap_female_male
AK,2010,8.052679943925124,6.768356526929109,6.346490716245524,8.903014630535973,8.032025969469776,8.077199235633456,1.2843234169960152,2.556523914290448,-0.04517326616367967
AK,2011,8.059154689315543,6.779931117587948,6.214605379024399,9.002348830983468,8.111534479594825,8.01198670070756,1.279223571727595,2.787743451959069,0.09954777888726518
AK,2012,8.033347602529668,6.688777094151094,6.614158014039058,9.038805801614936,8.099687364043662,7.970014411434013,1.344570508378574,2.4246477875758785,0.12967295260964917
AK,2013,7.991295331929948,6.617784390353595,6.509714301133289,9.023525318753574,8.110705591148758,7.877432129021311,1.3735109415763525,2.5138110176202852,0.23327346212744704
AK,2014,7.917059331431639,6.614573514312687,5.991057498210886,9.040462612859509,8.002705786711223,7.834238202730019,1.302485817118952,3.0494051146486223,0.16846758398120443
AK,2015,7.808969043037031,6.598924113254954,6.144884294560881,,7.834833240005902,7.778874435823114,1.210044929782077,,0.05595880418278831
AZ,2009,7.503650360908522,6.275011292032099,6.144707403372229,8.761130359242996,7.510585859740747,7.495597936672366,1.228639068876423,2.6164229558707666,0.014987923068380482
AZ,2010,7.601954992999937,6.446860305903138,6.435093713064671,8.815868307143333,7.646419338322595,7.556447604659052,1.1550946870967982,2.3807745940786624,0.08997173366354261
AZ,2011,7.704005023985658,6.584149282297062,6.488723559958536,8.921575712681786,7.781150924430955,7.623109467615684,1.1198557416885961,2.4328521527232505,0.15804145681527082
AZ,2012,7.722937897732791,6.722295272721483,6.409687515413699,8.88556684978307,7.773644539992056,7.669343177442326,1.0006426250113085,2.4758793343693704,0.10430136254973021
AZ,2013,7.756432440586086,6.787322149721743,6.427134329414204,8.879779286745974,7.910303162186129,7.596281689151647,0.969110290864343,2.4526449573317697,0.31402147303448213
AZ,2014,7.915007933390146,6.887719451185948,6.660808326278281,9.076768248401274,8.096101494299218,7.728200432345307,1.0272884822041979,2.415959922122993,0.36790106195391026
AZ,2015,8.115318029058855,7.092970236693729,6.706921069380417,9.304787291442569,8.203336295907034,8.018667785622393,1.0223477923651263,2.5978662220621516,0.18466851028464148
AR,2011,7.740199206153794,6.780639117502721,5.555991718145869,8.48981840098406,7.848414905031786,7.634641788665127,0.9595600886510729,2.933826682838191,0.2137731163666592
AR,2012,7.658934209903167,6.716755877010519,5.455924127149717,8.421285502591452,7.588026298627,7.730897750719999,0.9421783328926479,2.965361375441735,-0.142871452092999
AR,2013,7.587303385273543,6.576678389272507,5.504121687853262,8.335659620713722,7.655063559694655,7.517963393938468,1.0106249960010363,2.83153793286046,0.13710016575618766
AR,2014,7.453175371054537,6.456813567541261,5.320590795806476,8.201457507196174,7.695333860010892,7.211697578629069,0.9963618035132766,2.8808667113896984,0.48363628138182246
AR,2016,7.266015235541958,6.341779921783528,5.129435998595238,8.011084421633775,7.437834839016674,7.082473751280832,0.9242353137584303,2.8816484230385377,0.35536108773584285
AR,2017,7.179252527338279,6.190846219640232,5.075918764459402,7.945297453136424,7.420982493642057,6.936469841081839,0.9884063076980469,2.8693786886770223,0.4845126525602188
AR,2018,7.190391018291626,6.176157984764659,5.027496984133395,8.009098842751396,7.393649251272357,6.973867554313188,1.014233033526967,2.981601858618,0.419781696959169
AR,2019,7.198621173692692,6.144704078044237,4.825023934115085,8.07614076390063,7.426302739843372,6.960434514786925,1.0539170956484556,3.2511168297855457,0.46586822505644676
CA,2015,7.295929293967935,6.18269106603509,5.427351044348596,8.739788530527187,7.477483710245662,7.102358196027031,1.113238227932845,3.3124374861785917,0.37512551421863094
CA,2016,7.350177371581153,6.197533632317739,5.403188193783895,8.846694955906013,7.568244365505523,7.122900829229192,1.1526437392634143,3.4435067621221185,0.4453435362763303
CA,2017,7.420412603433577,6.181538819479012,5.43695922371776,8.928697361155372,7.661924240968762,7.168388234079851,1.2388737839545643,3.491738137437612,0.4935360068889114
CA,2018,7.357098030594211,6.15697919679405,5.280614960233633,8.851854582451425,7.615293280402083,7.084521453904709,1.2001188338001612,3.5712396222177922,0.5307718264973742
CA,2019,7.296000335168686,6.126992651329904,5.203685334765761,8.817797766542519,7.536053010213915,7.040868921603662,1.1690076838387817,3.614112431776758,0.49518408861025254
CO,2012,8.846734784110648,7.211303938975318,6.744101683789616,9.803280915828903,8.852876331893128,8.841465661516851,1.63543084513533,3.0591792320392877,0.011410670376276855
CO,2013,8.722962708215663,7.064344188466771,6.7704508659633,9.702786507152537,8.719386957759259,8.72771465472173,1.6586185197488916,2.932335641189237,-0.008327696962471265
CO,2014,8.549381321878958,6.904054377645179,6.448556840492266,9.554728315026484,8.584485430420889,8.515404985690457,1.645326944233779,3.106171474534218,0.06908044473043162
CT,2009,8.571861488617351,6.130789827404032,6.114166408159292,9.566035107972228,8.6202698384318,8.524527941815311,2.4410716612133188,3.4518686998129358,0.0957418966164898
CT,2010,8.55763337165384,6.233519822329759,6.221133287555329,9.492107798613434,8.652403828409046,8.46257035321297,2.32411354932408,3.270974511058105,0.1898334751960764
